Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss  -0.13 |n_ep   133 |ep_len   31.1 |ep_rew  -0.24 |raw_ep_rew   0.66 |env_step   4000 |time 00:30 rem 1004:37
iter  18500 |loss  -0.01 |n_ep  3993 |ep_len   51.2 |ep_rew   0.52 |raw_ep_rew   7.61 |env_step 148000 |time 18:50 rem 999:17
iter  19000 |loss  -0.06 |n_ep  4073 |ep_len   47.9 |ep_rew   0.40 |raw_ep_rew   7.46 |env_step 152000 |time 19:20 rem 998:46
iter  19500 |loss  -0.12 |n_ep  4157 |ep_len   47.1 |ep_rew   0.33 |raw_ep_rew   5.54 |env_step 156000 |time 19:51 rem 998:13
iter  20000 |loss   0.05 |n_ep  4241 |ep_len   50.1 |ep_rew   0.50 |raw_ep_rew   5.52 |env_step 160000 |time 20:21 rem 997:46
iter  20500 |loss   0.03 |n_ep  4325 |ep_len   43.9 |ep_rew   0.29 |raw_ep_rew   6.67 |env_step 164000 |time 20:52 rem 997:15
iter  21000 |loss  -0.04 |n_ep  4403 |ep_len   45.9 |ep_rew   0.32 |raw_ep_rew   6.26 |env_step 168000 |time 21:22 rem 996:42
iter  21500 |loss   0.02 |n_ep  4484 |ep_len   46.8 |ep_rew   0.44 |raw_ep_rew   6.41 |env_step 172000 |time 21:53 rem 996:12
iter  22000 |loss   0.06 |n_ep  4569 |ep_len   44.0 |ep_rew   0.26 |raw_ep_rew   6.24 |env_step 176000 |time 22:23 rem 995:41
iter  22500 |loss   0.01 |n_ep  4646 |ep_len   46.5 |ep_rew   0.34 |raw_ep_rew   6.71 |env_step 180000 |time 22:54 rem 995:10
iter  23000 |loss   0.05 |n_ep  4729 |ep_len   48.0 |ep_rew   0.46 |raw_ep_rew   7.43 |env_step 184000 |time 23:25 rem 994:46
iter  23500 |loss   0.01 |n_ep  4812 |ep_len   47.6 |ep_rew   0.39 |raw_ep_rew   6.78 |env_step 188000 |time 23:55 rem 994:15
