----------------------------------------
Begin Torque Prologue on nid25330
at Tue Apr 28 18:17:37 CDT 2020
Job Id:			11234765.bw
Username:		syf1219
Group:			EOT_bbby
Job name:		breakout_dqn
Requested resources:	nodes=1:ppn=4:xk,walltime=14:00:00,neednodes=1:ppn=4:xk
Queue:			normal
Account:		bbby
End Torque Prologue:  0.117 elapsed
----------------------------------------




Requirement already satisfied: gym[atari]==0.14 in /mnt/a/u/eot/syf1219/.local/lib/python3.5/site-packages (0.14.0)
Requirement already satisfied: pyglet<=1.3.2,>=1.2.0 in /mnt/bwpy/single/usr/lib/python3.5/site-packages (from gym[atari]==0.14) (1.2.4)
Requirement already satisfied: numpy>=1.10.4 in /mnt/bwpy/single/usr/lib/python3.5/site-packages (from gym[atari]==0.14) (1.14.5)
Requirement already satisfied: six in /mnt/bwpy/single/usr/lib/python3.5/site-packages (from gym[atari]==0.14) (1.11.0)
Requirement already satisfied: scipy in /mnt/bwpy/single/usr/lib/python3.5/site-packages (from gym[atari]==0.14) (1.1.0)
Requirement already satisfied: cloudpickle~=1.2.0 in /mnt/a/u/eot/syf1219/.local/lib/python3.5/site-packages (from gym[atari]==0.14) (1.2.2)
Requirement already satisfied: Pillow; extra == "atari" in /mnt/bwpy/single/usr/lib/python3.5/site-packages (from gym[atari]==0.14) (5.2.0)
Requirement already satisfied: atari-py~=0.2.0; extra == "atari" in /mnt/a/u/eot/syf1219/.local/lib/python3.5/site-packages (from gym[atari]==0.14) (0.2.6)
Requirement already satisfied: opencv-python; extra == "atari" in /mnt/a/u/eot/syf1219/.local/lib/python3.5/site-packages (from gym[atari]==0.14) (4.2.0.34)
Namespace(algo='dqn', batch_size=32, checkpoint_freq=500000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
[pid 1] start
[pid 0] start
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
parameters to optimize: [('conv_layers.0.weight', torch.Size([32, 4, 8, 8]), True), ('conv_layers.0.bias', torch.Size([32]), True), ('conv_layers.2.weight', torch.Size([64, 32, 4, 4]), True), ('conv_layers.2.bias', torch.Size([64]), True), ('conv_layers.4.weight', torch.Size([64, 64, 3, 3]), True), ('conv_layers.4.bias', torch.Size([64]), True), ('fc_layers.0.weight', torch.Size([256, 3136]), True), ('fc_layers.0.bias', torch.Size([256]), True), ('fc_layers.2.weight', torch.Size([4, 256]), True), ('fc_layers.2.bias', torch.Size([4]), True)] 

obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep    36 |ep_len   26.1 |ep_rew  -0.37 |raw_ep_rew   0.76 |env_step   1000 |time 00:07 rem 486:53
iter   1000 |loss   0.00 |n_ep    66 |ep_len   29.7 |ep_rew  -0.28 |raw_ep_rew   0.85 |env_step   2000 |time 00:14 rem 484:12
iter   1500 |loss   0.00 |n_ep    97 |ep_len   41.7 |ep_rew   0.01 |raw_ep_rew   0.78 |env_step   3000 |time 00:21 rem 484:59
iter   2000 |loss   0.00 |n_ep   121 |ep_len   38.8 |ep_rew  -0.01 |raw_ep_rew   1.65 |env_step   4000 |time 00:29 rem 483:05
iter   2500 |loss   0.00 |n_ep   152 |ep_len   33.3 |ep_rew  -0.13 |raw_ep_rew   1.45 |env_step   5000 |time 00:36 rem 484:17
iter   3000 |loss   0.00 |n_ep   183 |ep_len   27.3 |ep_rew  -0.29 |raw_ep_rew   1.18 |env_step   6000 |time 00:43 rem 483:51
iter   3500 |loss   0.00 |n_ep   213 |ep_len   31.4 |ep_rew  -0.17 |raw_ep_rew   1.20 |env_step   7000 |time 00:50 rem 483:54
iter   4000 |loss   0.00 |n_ep   248 |ep_len   31.2 |ep_rew  -0.13 |raw_ep_rew   1.02 |env_step   8000 |time 00:58 rem 484:00
iter   4500 |loss   0.00 |n_ep   285 |ep_len   24.3 |ep_rew  -0.39 |raw_ep_rew   0.67 |env_step   9000 |time 01:05 rem 484:39
iter   5000 |loss   0.00 |n_ep   321 |ep_len   27.9 |ep_rew  -0.28 |raw_ep_rew   0.68 |env_step  10000 |time 01:12 rem 484:40
iter   5500 |loss   0.00 |n_ep   351 |ep_len   39.4 |ep_rew   0.07 |raw_ep_rew   1.03 |env_step  11000 |time 01:24 rem 507:56
iter   6000 |loss   0.00 |n_ep   385 |ep_len   30.4 |ep_rew  -0.22 |raw_ep_rew   0.91 |env_step  12000 |time 01:35 rem 526:57
iter   6500 |loss   0.00 |n_ep   415 |ep_len   36.0 |ep_rew  -0.11 |raw_ep_rew   0.99 |env_step  13000 |time 01:46 rem 543:16
iter   7000 |loss   0.02 |n_ep   444 |ep_len   34.3 |ep_rew  -0.13 |raw_ep_rew   1.28 |env_step  14000 |time 01:57 rem 556:53
iter   7500 |loss   0.00 |n_ep   473 |ep_len   36.2 |ep_rew  -0.13 |raw_ep_rew   1.13 |env_step  15000 |time 02:08 rem 568:57
iter   8000 |loss   0.00 |n_ep   503 |ep_len   31.1 |ep_rew  -0.17 |raw_ep_rew   1.23 |env_step  16000 |time 02:19 rem 579:25
iter   8500 |loss   0.00 |n_ep   535 |ep_len   27.6 |ep_rew  -0.33 |raw_ep_rew   0.97 |env_step  17000 |time 02:30 rem 588:27
iter   9000 |loss   0.00 |n_ep   568 |ep_len   25.8 |ep_rew  -0.33 |raw_ep_rew   0.91 |env_step  18000 |time 02:41 rem 596:37
iter   9500 |loss   0.00 |n_ep   603 |ep_len   27.9 |ep_rew  -0.26 |raw_ep_rew   0.74 |env_step  19000 |time 02:52 rem 603:50
